"File","Line","Content","MsgText","IsDebug","PrevCtx","NextCtx"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","26266","MessageBox(""Respective exchange not logged in for GEA product. Hence, can not add IOB rule in Algo."", ""IOB Algo Add"", MB_OK | MB_ICONINFORMATION);","Respective exchange not logged in for GEA product. Hence, can not add IOB rule in Algo.","False","{","return;"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","26274","int iAction = MessageBox(""Unable to process SOR rule.Do you want to continue NSE OR BSE? \n\n YES    ==> NSE \n NO     ==> BSE \n CANCEL ==> Return"",""IOB-Algo Rule Add"",MB_YESNOCANCEL|MB_ICONINFORMATION);","Unable to process SOR rule.Do you want to continue NSE OR BSE? \n\n YES    ==> NSE \n NO     ==> BSE \n CANCEL ==> Return","False","{","if(iAction == 6)"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","26653","MessageBox(""Unable to select SOR exchange"", ""GreekExecutionAlgos"", MB_OK | MB_ICONINFORMATION);","Unable to select SOR exchange","False","{","return;"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","26910","MessageBox(""Please Select Proper IOB Rule"", ""GreekExecutionAlgos"");","Please Select Proper IOB Rule","False","{","}"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","26919","MessageBox(""Exception in InitializeControlsForIOM"", ""GreekExecutionAlgos"");","Exception in InitializeControlsForIOM","True","#ifdef _DEBUG","#endif"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","26946","MessageBox(cBuff, ""IOB Validation"", MB_OK | MB_ICONINFORMATION);","[Dynamic variable: cBuff]","False","sprintf(cBuff, ""Rule quantity is greater than allowed IOB rule quantity \nPlease provide proper quantity ! \n\n [Maximum allowed=%ld Entered=%ld]"", m_lTotalQty_IOM, iCurrentQty);","m_edtTotalQty.SetFocus();"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","26967","MessageBox(cBuff, ""IOB Validation"", MB_OK | MB_ICONINFORMATION);","[Dynamic variable: cBuff]","False","sprintf(cBuff, ""Max Price is greater than allowed IOB rule Price \nPlease provide proper Max Price ! \n\n [Maximum allowed = %0.4f Entered = %0.4f]"", m_dPrice_IOM, dCurrentPrice);","m_edtMaxPrice.SetFocus();"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","26980","MessageBox(cBuff, ""IOB Validation"", MB_OK | MB_ICONINFORMATION);","[Dynamic variable: cBuff]","False","sprintf(cBuff, ""Max Price is Lower than allowed IOB rule Price \nPlease provide proper Max Price ! \n\n [Maximum allowed = %0.4f Entered = %0.4f]"", m_dPrice_IOM, dCurrentPrice);","m_edtMaxPrice.SetFocus();"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","27067","MessageBox(cMsg, ""IOB Sell Price"", MB_ICONSTOP);","[Dynamic variable: cMsg]","False","sprintf(cMsg, ""Assined price is %0.4f, you can not place low price to SR spread rule"", pIOBRuleDetails->objiobstructures.ObjGreekIOBOrderEntry.dPrice);","if (m_pInMemGATSArbitrage)"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","27084","MessageBox(cMsg, ""IOB Buy Price"", MB_ICONSTOP);","[Dynamic variable: cMsg]","False","sprintf(cMsg, ""Assined price is %0.4f, you can not place greater price to Buy"", pIOBRuleDetails->objiobstructures.ObjGreekIOBOrderEntry.dPrice);","if (m_pInMemGATSArbitrage)"
